,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
58,44.98,35.51,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.1145,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/TzCsJFcAg0jqhz,4.19.0-ipanema-g8cd6f0a04f0c,i80,1781.99,5.28,7205.8924
59,8.58,7.26,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0118,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/Z9veSYHUkbv4ps,4.19.0-ipanema-g8cd6f0a04f0c,i80,135.62,5.32,4406.3835
60,41.1,33.03,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.103,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/IPE3oiSFuP4JrJ,4.19.0-ipanema-g8cd6f0a04f0c,i80,1738.69,7.08,7748.5294
61,21.89,18.13,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0646,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/1g85MZPXyOhKJi,4.19.0-ipanema-g8cd6f0a04f0c,i80,277.35,5.9,7056.7945
62,41.85,33.27,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.1104,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/ANFFsBzo3OUQKZ,4.19.0-ipanema-g8cd6f0a04f0c,i80,1729.8,8.05,7692.3915
63,11.45,9.92,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0214,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/aDPHKUXZdRNN0t,4.19.0-ipanema-g8cd6f0a04f0c,i80,203.93,5.47,6446.7624
64,41.1,32.55,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.107,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/yDP8K18SwB8EwT,4.19.0-ipanema-g8cd6f0a04f0c,i80,1706.81,7.0,7861.5683
65,10.84,9.57,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0213,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/8I3yaJmENqSrHY,4.19.0-ipanema-g8cd6f0a04f0c,i80,207.97,5.42,6683.9783
66,11.45,9.78,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0239,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/eLvBoOUVMvo5nc,4.19.0-ipanema-g8cd6f0a04f0c,i80,185.04,5.68,6538.7389
67,8.58,7.14,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.012,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/KDhDfjoKzvxE6E,4.19.0-ipanema-g8cd6f0a04f0c,i80,117.06,5.32,4480.851
68,11.65,10.08,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0234,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/pmliF4kOjI0sju,4.19.0-ipanema-g8cd6f0a04f0c,i80,217.12,5.54,6348.3005
69,11.24,9.75,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0224,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/YmHDHfCiOppqqr,4.19.0-ipanema-g8cd6f0a04f0c,i80,197.38,5.56,6560.6067
70,41.1,32.9,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.084,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/8E3zvcTynEnOQu,4.19.0-ipanema-g8cd6f0a04f0c,i80,405.63,8.02,7779.4376
71,41.85,33.16,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.1053,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/b7yLEDCdi7dhLv,4.19.0-ipanema-g8cd6f0a04f0c,i80,1762.56,5.18,7717.2013
72,43.39,34.8,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.1088,mongo v4.1.8,cfs_wwc_flat scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/812261cf6f35018eeda8912abbb7d1be/data/YM4EjNS2tHSZh2,4.19.0-ipanema-g8cd6f0a04f0c,i80,1782.68,5.51,7353.7464
