,Unnamed: 0,avg_latency,client,client_sched,clients,duration,engine,engine_sched,events,file,kernel,machine,max_latency,min_latency,p95th_latency,st_ctime,sum_latency,throughput
379,379,9.51,sysbench 1.1.0,Linux,64,300.0175,mongo v4.1.8,Linux,2018195,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/Ek1Mgqh0eatTrq,4.19.0-ipanema-g9ba5ed25b696,i44,83.71,5.5,10.65,1552508246.1969194,19195439.85,6726.9253
380,380,6.87,sysbench 1.1.0,Linux,32,300.0093,mongo v4.1.8,Linux,1397029,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/KaNq4bNGGDVwC7,4.19.0-ipanema-g9ba5ed25b696,i44,70.57,5.49,7.84,1552556838.747652,9597400.22,4656.619
381,381,34.32,sysbench 1.1.0,Linux,256,300.0675,mongo v4.1.8,Linux,2237685,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/7GohQEA5wXi31M,4.19.0-ipanema-g9ba5ed25b696,i44,1133.83,7.75,44.98,1552532559.5897744,76796188.4,7457.2726
382,382,52.29,sysbench 1.1.0,Linux,400,300.0995,mongo v4.1.8,Linux,2294846,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/TTJd6dhHsCN6Rq,4.19.0-ipanema-g9ba5ed25b696,i44,1895.06,7.4,63.32,1552556838.747652,119999063.52,7646.9508
383,383,34.71,sysbench 1.1.0,Linux,256,300.0609,mongo v4.1.8,Linux,2212474,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/pAa5wOjWFlW1b8,4.19.0-ipanema-g9ba5ed25b696,i44,1110.53,8.12,45.79,1552483900.9218538,76795219.18,7373.4163
384,384,15.89,sysbench 1.1.0,Linux,128,300.0354,mongo v4.1.8,Linux,2416218,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/ZQ3XX1n3zUk26p,4.19.0-ipanema-g9ba5ed25b696,i44,159.57,5.79,23.52,1552483900.9178536,38394131.75,8053.1092
385,385,16.88,sysbench 1.1.0,Linux,128,300.0305,mongo v4.1.8,Linux,2274957,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/0y4aNGdnbRYmWJ,4.19.0-ipanema-g9ba5ed25b696,i44,145.08,5.6,25.28,1552508246.1929193,38393977.89,7582.4191
386,386,9.45,sysbench 1.1.0,Linux,64,300.0178,mongo v4.1.8,Linux,2031519,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/QrxK9bx7BCWs4m,4.19.0-ipanema-g9ba5ed25b696,i44,83.37,5.6,10.65,1552556838.747652,19195404.93,6771.3273
387,387,52.93,sysbench 1.1.0,Linux,400,300.097,mongo v4.1.8,Linux,2267068,/home/dc/storage/i44/mongo/r4.1.8/509813f26d18055fc92c1569daca1450/data/PaiTM1oZLAV4GN,4.19.0-ipanema-g9ba5ed25b696,i44,1828.82,7.36,64.47,1552508246.2009196,119997292.17,7554.4497
388,388,52.01,sysbench 1.1.0,ule_wwc scheduling policy,400,300.1359,mongo v4.1.8,ule_wwc scheduling policy,2307446,/home/dc/storage/i44/mongo/r4.1.8/be565b277ffda8256d29617a2b58f94d/data/pMNcVbPsz69ZUQ,4.19.0-ipanema-g9ba5ed25b696,i44,3931.82,5.5,114.72,1552446822.4508884,120008302.11,7688.0045
